,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
108,1302405.0,Lábrea,13.0,AM,446.00270270270266,464.44666666666666,468.6813333333333,468.8891891891893,508.0
109,1302504.0,Manacapuru,13.0,AM,461.9555555555558,495.8319444444441,495.24907407407386,482.6096618357492,519.074074074074
110,1302553.0,Manaquiri,13.0,AM,444.1307692307692,467.56956521739124,474.23043478260865,461.2653846153846,543.4782608695652
111,1302603.0,Manaus,13.0,AM,474.9094617489901,503.65039979692716,506.74868638152003,502.5472826795251,554.2124635105978
112,1302702.0,Manicoré,13.0,AM,451.34047619047635,470.0704545454546,474.1636363636364,469.7142857142857,485.0
113,1302801.0,Maraã,13.0,AM,435.0117647058824,464.34499999999997,451.91999999999996,459.34705882352955,476.0
114,1302900.0,Maués,13.0,AM,456.27195121951223,496.99146341463415,496.08292682926833,483.1841463414633,511.7073170731707
115,1303007.0,Nhamundá,13.0,AM,437.2033333333333,463.2033333333333,451.3416666666668,434.7,463.6666666666667
116,1303106.0,Nova Olinda do Norte,13.0,AM,430.66666666666674,441.71351351351353,457.14594594594587,447.3454545454545,434.5945945945946
117,1303205.0,Novo Airão,13.0,AM,425.70000000000005,470.79545454545445,457.30681818181836,451.9809523809523,532.7272727272727
118,1303304.0,Novo Aripuanã,13.0,AM,420.3272727272726,423.83898305084756,446.8745762711864,433.2327272727272,435.93220338983053
119,1303403.0,Parintins,13.0,AM,451.3996960486324,478.9745664739883,484.1947976878616,468.7851063829786,498.0346820809249
120,1303502.0,Pauini,13.0,AM,430.0266666666667,417.2249999999999,405.7625,430.32,365.0
121,1303536.0,Presidente Figueiredo,13.0,AM,469.1627659574468,487.28865979381453,494.1752577319586,461.75,515.0515463917526
122,1303569.0,Rio Preto da Eva,13.0,AM,459.35555555555555,446.6217391304349,454.704347826087,450.72222222222223,490.0
123,1303601.0,Santa Isabel do Rio Negro,13.0,AM,414.5230769230769,441.52142857142866,458.37142857142857,436.2923076923077,480.0
124,1303700.0,Santo Antônio do Içá,13.0,AM,418.1354838709679,432.85,443.74375,443.45161290322585,408.125
125,1303809.0,São Gabriel da Cachoeira,13.0,AM,450.72318840579703,471.61884057971025,474.9971014492754,463.07101449275365,493.9130434782609
126,1303908.0,São Paulo de Olivença,13.0,AM,439.14545454545436,473.9638297872342,465.1340425531914,463.74999999999994,493.6170212765957
127,1303957.0,São Sebastião do Uatumã,13.0,AM,404.325,417.77,400.85,443.1,428.0
128,1304005.0,Silves,13.0,AM,425.38333333333327,443.8346153846154,442.4807692307693,436.13666666666666,414.61538461538464
129,1304062.0,Tabatinga,13.0,AM,450.682786885246,473.2330645161294,489.21370967741916,456.5262295081967,515.3225806451613
130,1304104.0,Tapauá,13.0,AM,423.8599999999999,448.72222222222223,467.7407407407408,450.92799999999994,489.6296296296296
131,1304203.0,Tefé,13.0,AM,467.2111111111109,482.3865546218486,492.64957983193256,474.5085470085469,538.9915966386554
132,1304237.0,Tonantins,13.0,AM,401.27826086956526,416.5217391304348,443.62173913043483,440.3521739130435,446.95652173913044
133,1304260.0,Uarini,13.0,AM,426.3080000000001,419.40799999999996,437.684,444.1919999999999,340.0
134,1304302.0,Urucará,13.0,AM,438.41578947368424,461.0894736842105,457.65789473684225,453.9263157894737,509.4736842105263
135,1304401.0,Urucurituba,13.0,AM,436.0119047619047,454.58139534883713,449.0813953488373,448.6047619047619,441.86046511627904
136,1400027.0,Amajari,14.0,RR,534.6800000000001,497.8142857142857,467.75714285714287,462.5200000000001,588.5714285714286
137,1400050.0,Alto Alegre,14.0,RR,444.52380952380963,437.94347826086965,456.1913043478259,438.63809523809533,382.60869565217394
138,1400100.0,Boa Vista,14.0,RR,483.4748658318418,501.8864617940201,519.5378737541537,509.13801431127035,544.3687707641196
139,1400159.0,Bonfim,14.0,RR,441.45000000000005,407.1111111111111,453.6333333333334,419.275,437.77777777777777
140,1400175.0,Cantá,14.0,RR,453.7249999999999,443.04285714285703,447.8785714285715,419.44166666666666,492.85714285714283
141,1400209.0,Caracaraí,14.0,RR,466.8450980392157,492.7033333333335,491.8566666666667,475.79607843137245,476.3333333333333
142,1400233.0,Caroebe,14.0,RR,442.09999999999997,450.73333333333335,512.3333333333334,363.1666666666667,306.6666666666667
143,1400282.0,Iracema,14.0,RR,422.84285714285716,429.7285714285714,475.2571428571428,394.6285714285715,534.2857142857143
